修读状态,成绩学年,学期,课程号,课程名称,学时,课程性质,学分,课程类别,最大成绩,绩点,成绩,补考,重修,建议修读学年,建议修读学期,课程重要性系数,注释
完成,2024-2025,1,011422002,计算机基础技能应用,理论(4.0)-上机(2.0),必修课,4,公共基础课,82,3.2,82,否,否,2024-2025,1,1,
完成,2024-2025,1,100011008,大学英语,理论(4.0),必修课,3.5,公共基础课,78,2.8,78,否,否,2024-2025,1,1,
完成,2024-2025,1,100011019,高等数学B Ⅰ,理论(4.0),必修课,3,公共基础课,67,1.7,67,否,否,2024-2025,1,1,
完成,2024-2025,1,100013034,体育Ⅰ,实训(2.0),必修课,0.5,公共基础课,74,2.4,74,否,否,2024-2025,1,1,
完成,2025-2026,2,110111004,形势与政策,理论(2.0),必修课,1,公共基础课,通过,3.5,通过,否,否,2024-2025,1,,
完成,2024-2025,1,110111013,国家安全教育,理论(4.0),必修课,1,公共基础课,良好,3.5,良好,否,否,2024-2025,1,1,
完成,2024-2025,1,110112001,思想道德与法治,理论(4.0)-实训(2.0),必修课,3,公共基础课,98,4.8,98,否,否,2024-2025,1,1,
完成,2024-2025,1,210311004,大学生心理健康Ⅰ,理论(4.0),必修课,1,公共基础课,78,2.8,78,否,否,2024-2025,1,1,
完成,2024-2025,1,210313001,军事训练,实训(30.0),必修课,2,公共基础课,优秀,4.5,优秀,否,否,2024-2025,1,1,
完成,2025-2026,2,210313005,大学生心理健康Ⅱ,实训(2.0),必修课,1,公共基础课,79,2.9,79,否,否,2024-2025,1,1,
完成,2024-2025,2,100011009,大学英语Ⅱ,理论(4.0),必修课,3.5,公共基础课,90,4,90,否,否,2024-2025,2,1,
完成,2024-2025,2,100013035,体育Ⅱ,实训(2.0),必修课,1,公共基础课,79,2.9,79,否,否,2024-2025,2,1,
完成,2024-2025,2,110112002,毛泽东思想和中国特色社会主义理论体系概论,理论(4.0)-实训(2.0),必修课,2,公共基础课,94,4.4,94,否,否,2024-2025,2,1,
完成,2024-2025,2,210312006,职业规划与就业指导Ⅰ,理论(4.0)-实训(4.0),必修课,1,公共基础课,72,2.2,72,否,否,2024-2025,2,1,
完成,2025-2026,1,100013036,体育Ⅲ,实训(2.0),必修课,0.5,公共基础课,61,1.1,61,否,否,2025-2026,1,,
完成,2025-2026,1,110112011,习近平新时代中国特色社会主义思想概论Ⅰ,理论(4.0)-实训(2.0),必修课,1,公共基础课,100,5,100,否,否,2025-2026,1,,
完成,2025-2026,1,210313002,假期社会实践,实训(30.0),必修课,1,公共基础课,中等,2.5,中等,否,否,2025-2026,1,1,
完成,2025-2026,2,110112012,习近平新时代中国特色社会主义思想概论Ⅱ,理论(4.0)-实训(4.0),必修课,2,公共基础课,95,4.5,95,否,否,2025-2026,2,,
完成,2025-2026,2,210311007,职业规划与就业指导Ⅱ,理论(4.0),必修课,0.5,公共基础课,78,2.8,78,否,否,2025-2026,2,1,
完成,2025-2026,2,210311008,军事理论,理论(4.0),必修课,2,公共基础课,通过,3.5,通过,否,否,2025-2026,2,1,
完成,2026-2027,1,100011016,美育教育,理论(4.0),必修课,1,公共基础课,通过,3.5,通过,否,否,2026-2027,1,,
在读,2026-2027,1,100013037,体育Ⅳ,实训(2.0),必修课,0.5,公共基础课,在读,在读,在读,-,-,2026-2027,1,1,
在读,2026-2027,1,210312003,劳动教育,理论(2.0)-实训(2.0),必修课,1,公共基础课,在读,在读,在读,-,-,2026-2027,1,,
未修,未修,未修,100013038,体育,实训(2.0),必修课,0.5,公共基础课,未修,未修,未修,未修,未修,2026-2027,2,1,
完成,2024-2025,1,011521001,计算机网络技术专业导论,理论(4.0),必修课,0.5,专业基础课,通过,1,通过,否,否,2024-2025,1,1,
完成,2024-2025,1,011522023,C语言程序设计,理论(4.0)-上机(4.0),必修课,3.5,专业基础课,83,3.3,83,否,否,2024-2025,1,1,
