key,value
统计时间,2026-09-17 21:12:24
备注_跨专业交叉课,《Web前端框架技术》与《人工智能基础》二选一
备注_专业选修课,《H3CNE认证培训》与《云计算技术与应用》为限定性选修；《Java程序设计》与《Python程序设计》二选一
备注_公共选修课,大学语文、应用文写作必须二选一
计划总课程,53
通过,46
未通过,0
未修,2
在读,3
免修,2
计划外通过,0
计划外未通过,0
必修课要求学分,103.0
必修课获得学分,83.0
必修课未获得学分,20.0
必修课要求门次,41
必修课到达要求,38
必修课未达到要求,3
公共基础课要求学分,37.5
公共基础课获得学分,35.5
公共基础课未获得学分,2.0
公共基础课要求门次,24
公共基础课到达要求,21
公共基础课未达到要求,3
专业基础课要求学分,17.0
专业基础课获得学分,17.0
专业基础课未获得学分,0.0
专业基础课要求门次,7
专业基础课到达要求,6
专业基础课未达到要求,1
专业课要求学分,27.5
专业课获得学分,27.5
专业课未获得学分,0.0
专业课要求门次,8
专业课到达要求,8
专业课未达到要求,0
综合实践课要求学分,21.0
综合实践课获得学分,3.0
综合实践课未获得学分,18.0
综合实践课要求门次,2
综合实践课到达要求,3
综合实践课未达到要求,0
选修课要求学分,19.0
选修课获得学分,19.0
选修课未获得学分,0.0
选修课要求门次,7
选修课到达要求,8
选修课未达到要求,0
跨专业交叉课要求学分,2.0
跨专业交叉课获得学分,2.0
跨专业交叉课未获得学分,0.0
跨专业交叉课要求门次,1
跨专业交叉课到达要求,1
跨专业交叉课未达到要求,0
专业选修课要求学分,11.0
专业选修课获得学分,11.0
专业选修课未获得学分,0.0
专业选修课要求门次,3
专业选修课到达要求,3
专业选修课未达到要求,0
公共选修课要求学分,6.0
公共选修课获得学分,6.0
公共选修课未获得学分,0.0
